# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-06-07 18:11:55 48388059 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000136993  0.164398987 -0.986393924  0.000000000000000000 -30.413812651   0.000000000  30.413812651  0.000000995340365    31.844640  0.000000000000000 
     1     0.001000  0.000136993  0.000137082  0.164442824 -0.986386617  0.000000000000000000 -30.414037958  30.414037958  30.414037958  0.000000996777364    31.796023 30.414037958055800 
     2     0.002000  0.000274075  0.000137172  0.164486713 -0.986379299  0.000000000000000000 -30.414263596  12.638246994  30.414263596  0.000000998217893    31.747429 12.638246994084181 
     3     0.003000  0.000411247  0.000137262  0.164530654 -0.986371970  0.000000000000000000 -30.414489565  14.493006322  30.414489565  0.000000999661965    31.698857 14.493006321899800 
     4     0.004000  0.000548509  0.000136994  0.164574646 -0.986364631  0.000000000000000222 -30.414715867  16.558413106  30.414715867  0.000000995906419    31.650308 16.558413106026098 
     5     0.005000  0.000685503  0.000137084  0.164618576 -0.986357301 -0.000000000000000222 -30.414941912  18.443257917  30.414941912  0.000000997346312    31.601908 18.443257916586354 
     6     0.006000  0.000822587  0.000137173  0.164662558 -0.986349959  0.000000000000000222 -30.415168290  21.253834080  30.415168290  0.000000998789747    31.553530 21.253834080136841 
     7     0.007000  0.000959760  0.000136906  0.164706592 -0.986342607 -0.000000000000000222 -30.415395001  24.007412285  30.415395001  0.000000995036105    31.505175 24.007412285059953 
     8     0.008000  0.001096666  0.000136996  0.164750563 -0.986335263  0.000000000000000000 -30.415621455  26.404404745  30.415621455  0.000000996475361    31.456968 26.404404744976990 
     9     0.009000  0.001233662  0.000137085  0.164794586 -0.986327909  0.000000000000000000 -30.415848241  30.125948637  30.415848241  0.000000997918160    31.408783 30.125948636945648 
    10     0.010000  0.001370747  0.000137175  0.164838662 -0.986320544  0.000000000000000000 -30.416075362  30.416075362  30.416075362  0.000000999364513    31.360621 30.416075362410840 
    11     0.011000  0.001507922  0.000136908  0.164882789 -0.986313168  0.000000000000000222 -30.416302818  30.416302818  30.416302818  0.000000995608800    31.312482 30.416302818103087 
